year,region,sector,value
"2008","MD","ppd",0.0194572484047363
"2008","MD","res",0.0198386847095551
"2008","MD","com",0.0244311649327494
"2008","MD","amb",0.0205983748953609
"2008","MD","fbp",0.018876307428898
"2008","MD","rec",0.0212250160125756
"2008","MD","con",0.0194572484047363
"2008","MD","agr",0.018876307428898
"2008","MD","eec",0.0193802490270096
"2008","MD","use",0.0242431249991646
"2008","MD","fnd",0.0242431249991646
"2008","MD","pub",0.0244311649327494
"2008","MD","hou",0.0237884782329518
"2008","MD","fbt",0.018876307428898
"2008","MD","ins",0.0183724616341676
"2008","MD","tex",0.0205780403645813
"2008","MD","leg",0.0244311649327494
"2008","MD","fen",0.0242431249991646
"2008","MD","uti",0.0237884782329518
"2008","MD","nmp",0.0194572484047363
"2008","MD","brd",0.0244311649327494
"2008","MD","bnk",0.0183724616341676
"2008","MD","ore",0.0237884782329518
"2008","MD","edu",0.0216788752871151
"2008","MD","ote",0.0210152002171626
"2008","MD","man",0.0244311649327494
"2008","MD","mch",0.0194572484047363
"2008","MD","dat",0.0244311649327494
"2008","MD","amd",0.0212250160125756
"2008","MD","oil",0.0174745345753691
"2008","MD","hos",0.0205983748953609
"2008","MD","rnt",0.0212250160125756
"2008","MD","pla",0.0194572484047363
"2008","MD","fof",0.0193802490270096
"2008","MD","fin",0.0183724616341676
"2008","MD","tsv",0.0244311649327494
"2008","MD","nrs",0.0205983748953609
"2008","MD","sec",0.0183724616341676
"2008","MD","art",0.0212250160125756
"2008","MD","mov",0.0244311649327494
"2008","MD","fpd",0.0211637049231924
"2008","MD","slg",0.0242431249991646
"2008","MD","pri",0.0194572484047363
"2008","MD","grd",0.0193466805547871
"2008","MD","pip",0.0193466805547871
"2008","MD","sle",0.0242431249991646
"2008","MD","osv",0.0244311649327494
"2008","MD","trn",0.0193466805547871
"2008","MD","smn",0.0204266721711865
"2008","MD","fmt",0.0194572484047363
"2008","MD","pet",0.0194572484047363
"2008","MD","mvt",0.0210152002171626
"2008","MD","cep",0.0193802490270096
"2008","MD","wst",0.0237884782329518
"2008","MD","mot",0.0210152002171626
"2008","MD","adm",0.0244311649327494
"2008","MD","soc",0.0205983748953609
"2008","MD","alt",0.0205780403645813
"2008","MD","pmt",0.0194572484047363
"2008","MD","trk",0.0193466805547871
"2008","MD","fdd",0.0242431249991646
"2008","MD","gmt",0.0204266721711865
"2008","MD","wtt",0.0193466805547871
"2008","MD","wpd",0.0211637049231924
"2008","MD","wht",0.0194572484047363
"2008","MD","oth",0.0242431249991646
"2008","MD","wrh",0.0244311649327494
"2008","MD","ott",0.0204266721711865
"2008","MD","che",0.0194572484047363
"2008","MD","air",0.0193466805547871
"2008","MD","mmf",0.0194572484047363
"2008","MD","otr",0.0193466805547871
"2008","MD","min",0.0174745345753691
"2008","OH","ppd",0.0343296089042768
"2008","OH","res",0.0329311201124886
"2008","OH","com",0.0328106364358918
"2008","OH","amb",0.0400010672866359
"2008","OH","fbp",0.0352300094475805
"2008","OH","rec",0.0393773138557357
"2008","OH","con",0.0343296089042768
"2008","OH","agr",0.0352300094475805
"2008","OH","eec",0.0310707649313786
"2008","OH","use",0.0427768069702601
"2008","OH","fnd",0.0427768069702601
"2008","OH","pub",0.0328106364358918
"2008","OH","hou",0.0330223660318027
"2008","OH","fbt",0.0352300094475805
"2008","OH","ins",0.0375799270277025
"2008","OH","tex",0.0308265718211703
"2008","OH","leg",0.0328106364358918
"2008","OH","fen",0.0427768069702601
"2008","OH","uti",0.0330223660318027
"2008","OH","nmp",0.0343296089042768
"2008","OH","brd",0.0328106364358918
"2008","OH","bnk",0.0375799270277025
"2008","OH","ore",0.0330223660318027
"2008","OH","edu",0.0358330783860317
"2008","OH","ote",0.0358059074286154
"2008","OH","man",0.0328106364358918
"2008","OH","mch",0.0343296089042768
"2008","OH","dat",0.0328106364358918
"2008","OH","amd",0.0393773138557357
"2008","OH","oil",0.034479866608402
"2008","OH","hos",0.0400010672866359
"2008","OH","rnt",0.0393773138557357
"2008","OH","pla",0.0343296089042768
"2008","OH","fof",0.0310707649313786
"2008","OH","fin",0.0375799270277025
"2008","OH","tsv",0.0328106364358918
"2008","OH","nrs",0.0400010672866359
"2008","OH","sec",0.0375799270277025
"2008","OH","art",0.0393773138557357
"2008","OH","mov",0.0328106364358918
"2008","OH","fpd",0.0318832542459054
"2008","OH","slg",0.0427768069702601
"2008","OH","pri",0.0343296089042768
"2008","OH","grd",0.0369967888252013
"2008","OH","pip",0.0369967888252013
"2008","OH","sle",0.0427768069702601
"2008","OH","osv",0.0328106364358918
"2008","OH","trn",0.0369967888252013
"2008","OH","smn",0.0365995366858015
"2008","OH","fmt",0.0343296089042768
"2008","OH","pet",0.0343296089042768
"2008","OH","mvt",0.0358059074286154
"2008","OH","cep",0.0310707649313786
"2008","OH","wst",0.0330223660318027
"2008","OH","mot",0.0358059074286154
"2008","OH","adm",0.0328106364358918
"2008","OH","soc",0.0400010672866359
"2008","OH","alt",0.0308265718211703
"2008","OH","pmt",0.0343296089042768
"2008","OH","trk",0.0369967888252013
"2008","OH","fdd",0.0427768069702601
"2008","OH","gmt",0.0365995366858015
"2008","OH","wtt",0.0369967888252013
"2008","OH","wpd",0.0318832542459054
"2008","OH","wht",0.0343296089042768
"2008","OH","oth",0.0427768069702601
"2008","OH","wrh",0.0328106364358918
"2008","OH","ott",0.0365995366858015
"2008","OH","che",0.0343296089042768
"2008","OH","air",0.0369967888252013
"2008","OH","mmf",0.0343296089042768
"2008","OH","otr",0.0369967888252013
"2008","OH","min",0.034479866608402
"2008","TN","ppd",0.0164501410310047
"2008","TN","res",0.0184045201821489
"2008","TN","com",0.0143090201989919
"2008","TN","amb",0.0194814530014543
"2008","TN","fbp",0.0194282614501529
"2008","TN","rec",0.0153697594155487
"2008","TN","con",0.0164501410310047
"2008","TN","agr",0.0194282614501529
"2008","TN","eec",0.0186819028667857
"2008","TN","use",0.0149435825146183
"2008","TN","fnd",0.0149435825146183
"2008","TN","pub",0.0143090201989919
"2008","TN","hou",0.0168041774495247
"2008","TN","fbt",0.0194282614501529
"2008","TN","ins",0.0152193246143857
"2008","TN","tex",0.0184634890946689
"2008","TN","leg",0.0143090201989919
"2008","TN","fen",0.0149435825146183
"2008","TN","uti",0.0168041774495247
