year,sector1,sector2,value
"1997","ppd","ppd",38.7582142376524
"1997","ppd","res",1.44127509106314
"1997","ppd","com",0.093894771426285
"1997","ppd","amb",1.00497968623151
"1997","ppd","fbp",21.2131093156769
"1997","ppd","rec",0.10283189105682
"1997","ppd","con",2.75207514134776
"1997","ppd","agr",0.194160793305075
"1997","ppd","eec",1.26726005787267
"1997","ppd","fnd",1.19007657937387
"1997","ppd","pub",5.42104318654675
"1997","ppd","fbt",0.0176707432192449
"1997","ppd","ins",0.0937588967991691
"1997","ppd","tex",1.02282279357161
"1997","ppd","leg",0.49331455263589
"1997","ppd","fen",0.0192635393810956
"1997","ppd","nmp",2.07683796720679
"1997","ppd","brd",0.25387049678745
"1997","ppd","bnk",0.928260376510389
"1997","ppd","ore",0.149636401319637
"1997","ppd","edu",0.0652805769439634
"1997","ppd","ote",0.435446715721204
"1997","ppd","man",0.138810379161713
"1997","ppd","mch",2.5654482830762
"1997","ppd","dat",0.094708341664942
"1997","ppd","amd",1.12266706046323
"1997","ppd","oil",0.0171046520840381
"1997","ppd","hos",1.54546988967982
"1997","ppd","rnt",0.154297280588732
"1997","ppd","pla",3.9971420185769
"1997","ppd","fof",0.000973899109260593
"1997","ppd","fin",0.00754397958331077
"1997","ppd","tsv",0.93303858920231
"1997","ppd","nrs",1.17857734254181
"1997","ppd","sec",0.199169126830464
"1997","ppd","art",0.0246007764244304
"1997","ppd","mov",0.116910157029756
"1997","ppd","fpd",1.05551923819221
"1997","ppd","slg",7.64186383514672
"1997","ppd","pri",19.4346444562384
"1997","ppd","grd",0.212734329868209
"1997","ppd","pip",0.00878547177636605
"1997","ppd","sle",0.018728607107344
"1997","ppd","osv",0.511049919694141
"1997","ppd","trn",0.00397578285891685
"1997","ppd","smn",0.0133034012550894
"1997","ppd","fmt",1.5617487349398
"1997","ppd","pet",0.116652279867532
"1997","ppd","mvt",0.0452073693216239
"1997","ppd","cep",2.28248853917049
"1997","ppd","wst",0.117541262473033
"1997","ppd","mot",1.6239926952542
"1997","ppd","adm",1.87605984096686
"1997","ppd","soc",0.290884158754981
"1997","ppd","alt",0.31280172146381
"1997","ppd","pmt",1.16325881059031
"1997","ppd","trk",0.00623462078767592
"1997","ppd","fdd",0.0706927907932777
"1997","ppd","gmt",0.00220306606610479
"1997","ppd","wtt",0.00521285664751029
"1997","ppd","wpd",0.399626644845613
"1997","ppd","wht",0.367913282347421
"1997","ppd","wrh",0.0489303800232825
"1997","ppd","ott",0.0121902956912105
"1997","ppd","che",5.76407293335228
"1997","ppd","air",0.0251737107997082
"1997","ppd","mmf",2.59024194391783
"1997","ppd","otr",0.813291986215192
"1997","ppd","min",0.138074238839113
"1997","res","ppd",0.209739644024485
"1997","res","res",1.16781253335158
"1997","res","com",1.55893676548544
"1997","res","amb",4.50380958776125
"1997","res","fbp",0.84706836816193
"1997","res","rec",0.359687445457396
"1997","res","con",0.266747456458848
"1997","res","agr",0.262584896367424
"1997","res","eec",0.0900390977749771
"1997","res","fnd",0.0420587358977868
"1997","res","pub",0.352312354203538
"1997","res","hou",2.86452533994277
"1997","res","fbt",0.0834942062578206
"1997","res","ins",1.31159944312248
"1997","res","tex",0.109084820399529
"1997","res","leg",1.73462032100097
"1997","res","fen",0.321234710820493
"1997","res","uti",1.73944893244198
"1997","res","nmp",0.115435186374397
"1997","res","brd",0.457728851120894
"1997","res","bnk",3.14315488099519
"1997","res","ore",6.09117239089151
"1997","res","edu",0.430142854897638
"1997","res","ote",0.0366750239406518
"1997","res","man",1.87352572505663
"1997","res","mch",0.425845537509608
"1997","res","dat",0.315715410845527
"1997","res","amd",5.98418427599882
"1997","res","oil",0.0211977381786707
"1997","res","hos",1.42445490273022
"1997","res","rnt",0.89744729666926
"1997","res","pla",0.398981219930164
"1997","res","fof",0.0492515617897983
"1997","res","fin",0.340273842322579
"1997","res","tsv",7.75239780718571
"1997","res","nrs",2.18747219996769
"1997","res","sec",0.68659428178678
"1997","res","art",0.211194133788716
"1997","res","mov",0.393891560883577
"1997","res","fpd",0.0717852913608111
"1997","res","slg",4.3914987503198
"1997","res","pri",0.361615527545722
"1997","res","grd",0.030470412400515
"1997","res","pip",0.0060713572973119
"1997","res","sle",0.287405684831949
"1997","res","osv",0.956679527615978
"1997","res","trn",0.00138071059800032
"1997","res","smn",0.0963133923525176
"1997","res","fmt",0.319290457253467
"1997","res","pet",0.169286086896794
"1997","res","mvt",0.205124210545598
"1997","res","cep",1.22540719591654
"1997","res","wst",0.164115339987333
"1997","res","mot",0.223639123841577
"1997","res","adm",5.35790238178742
"1997","res","soc",0.273863399037737
"1997","res","alt",0.185564924062154
"1997","res","pmt",0.138198482334932
"1997","res","trk",0.107419217581324
"1997","res","fdd",0.106513167344476
"1997","res","gmt",0.019275152629618
"1997","res","wtt",0.0150140093674571
"1997","res","wpd",0.181423901158421
"1997","res","wht",0.515596057392876
"1997","res","wrh",0.00765977618558156
"1997","res","ott",0.165209756766587
"1997","res","che",0.501788136551399
"1997","res","air",5.52731315414793
"1997","res","mmf",0.16900503630825
"1997","res","otr",0.358643786341201
"1997","res","min",0.0224074183103742
"1997","com","ppd",0.172045247971994
"1997","com","res",0.62831201478491
"1997","com","com",1.68060576223151
"1997","com","amb",1.20763198636891
"1997","com","fbp",0.853742173725371
"1997","com","rec",0.225574639887974
"1997","com","con",1.45676946434602
"1997","com","agr",0.120258946491129
"1997","com","eec",0.0484829458941079
"1997","com","fnd",3.75077002990894
"1997","com","pub",2.5971703879116
"1997","com","hou",0.229843599005922
