"yr","Dim2","Val"
"1997","IA",77.4475413965796
"1997","FL",407.422250610392
"1997","MD",179.220369830726
"1997","OH",334.108869389992
"1997","TN",150.615738660382
"1997","WI",143.024607136666
"1997","RI",33.9084267777742
"1997","AK",29.0716068594855
"1997","WV",36.6874838195651
"1997","AZ",134.282777548247
"1997","NH",42.4978746898528
"1997","OK",80.7208612254996
"1997","NE",48.7486279464297
"1997","KY",107.808268047269
"1997","NM",61.3662363860634
"1997","IL",399.279652901179
"1997","NC",244.446321991552
"1997","VA",270.431510457661
"1997","CT",133.855024581301
"1997","MI",285.10867114279
"1997","DE",32.8163923061543
"1997","HI",52.1861557454298
"1997","GA",247.999068809791
"1997","CA",1095.37676353159
"1997","ME",30.9523918017351
"1997","MA",256.095346193244
"1997","MS",60.0836034421147
"1997","WA",204.309398377335
"1997","TX",607.415739879541
"1997","AL",107.692328456949
"1997","NV",68.36908939412
"1997","SD",18.6079215883018
"1997","MN",148.42710829736
"1997","VT",15.3545785107861
"1997","MO",159.019523388571
"1997","IN",165.271862408642
"1997","LA",115.216664279229
"1997","KS",75.0489820563839
"1997","AR",58.2518458961173
"1997","NY",682.268051728296
"1997","OR",93.6609242072564
"1997","ND",17.2284229680658
"1997","SC",100.473893586109
"1997","ID",28.4358149043336
"1997","NJ",297.778898897754
"1997","UT",58.3255820654135
"1997","MT",19.1961593339671
"1997","DC",68.0190316965777
"1997","PA",343.008303638041
"1997","WY",14.5029518140132
"1997","CO",144.370378229664
"1998","IA",79.2603739726681
"1998","FL",435.972327566274
"1998","MD",190.144037696356
"1998","OH",351.386136639385
"1998","TN",162.512806900886
"1998","WI",151.908012247673
"1998","RI",35.6506982062128
"1998","AK",27.9883809927296
"1998","WV",37.900730358474
"1998","AZ",145.346922290411
"1998","NH",44.8685906358336
"1998","OK",83.0168084546581
"1998","NE",50.7485730741098
"1998","KY",113.447910900563
"1998","NM",59.3979990968319
"1998","IL",419.666579832883
"1998","NC",257.219431012549
"1998","VA",288.281115438649
"1998","CT",139.986850482932
"1998","MI",297.892444861764
"1998","DE",36.6525320458054
"1998","HI",53.1227914856082
"1998","GA",270.363823386421
"1998","CA",1170.41301630067
"1998","ME",32.4468113645894
"1998","MA",268.171985915993
"1998","MS",63.2226297150233
"1998","WA",219.920415148478
"1998","TX",643.153198756921
"1998","AL",113.061203538364
"1998","NV",74.0664063643621
"1998","SD",19.9751800322298
"1998","MN",158.933788390828
"1998","VT",16.0011017375423
"1998","MO",164.482512808071
"1998","IN",179.32561073339
"1998","LA",118.93674790665
"1998","KS",79.1608228494093
"1998","AR",60.7980636995896
"1998","NY",708.089206615086
"1998","OR",97.5034333920439
"1998","ND",18.3874729903039
"1998","SC",107.175535559727
"1998","ID",30.0661081534181
"1998","NJ",307.992600291952
"1998","UT",62.6923667170592
"1998","MT",20.4323123575964
"1998","DC",70.610198711422
"1998","PA",358.777358903151
"1998","WY",14.7645513590909
"1998","CO",158.473911257538
"1999","IA",82.0248794459912
"1999","FL",462.791980520559
"1999","MD",201.144868771783
"1999","OH",365.464917393296
"1999","TN",170.638603608305
"1999","WI",161.102973588335
"1999","RI",37.6852684099669
"1999","AK",28.8411935571224
"1999","WV",39.4735600236873
"1999","AZ",157.409028617766
"1999","NH",46.3584979216694
"1999","OK",86.1193954977615
"1999","NE",52.8480978676735
"1999","KY",119.853492504168
"1999","NM",61.8537207878819
"1999","IL",441.454814458333
"1999","NC",276.618461783282
"1999","VA",310.119034916511
"1999","CT",146.249046838737
"1999","MI",322.567718794512
"1999","DE",40.3233003162143
"1999","HI",55.3655289888505
"1999","GA",294.850146792745
"1999","CA",1268.73956861581
"1999","ME",34.7026099475949
"1999","MA",284.885401965925
"1999","MS",66.323122767354
"1999","WA",240.848737408897
"1999","TX",678.788010591346
"1999","AL",118.543838454859
"1999","NV",81.9745452044812
"1999","SD",21.0090341642659
"1999","MN",166.855093274427
"1999","VT",17.1390215598403
"1999","MO",172.743916176153
"1999","IN",187.483305134785
"1999","LA",125.088826541192
"1999","KS",82.7071088767934
"1999","AR",65.0765566445511
"1999","NY",754.786374331354
"1999","OR",99.5228348181996
"1999","ND",18.5555847286167
"1999","SC",115.10021786708
"1999","ID",33.2990887654322
"1999","NJ",324.2131007014
"1999","UT",66.6270703842638
"1999","MT",20.9499476799281
"1999","DC",75.1739652551832
"1999","PA",374.981015263044
"1999","WY",15.5605539654015
"1999","CO",173.226484665798
"2000","IA",87.3624690658806
"2000","FL",493.147949517224
"2000","MD",213.506382229255
"2000","OH",380.093998267336
"2000","TN",176.655744166698
"2000","WI",168.602498074163
"2000","RI",40.2420146022904
"2000","AK",31.2845902326506
"2000","WV",40.3268090107731
"2000","AZ",166.712050634514
"2000","NH",49.6609006862285
"2000","OK",93.0846415201287
"2000","NE",55.7125153677586
"2000","KY",119.59466413349
"2000","NM",64.0132643953548
"2000","IL",469.304094938259
"2000","NC",289.653996831016
"2000","VA",333.249034821766
"2000","CT",159.809732632655
"2000","MI",334.798083978268
"2000","DE",43.3766743650554
"2000","HI",59.0434393790406
"2000","GA",314.651065760957
"2000","CA",1390.14853644692
"2000","ME",37.1593867320213
"2000","MA",312.15671367168
"2000","MS",68.6319530035854
"2000","WA",250.114512347683
"2000","TX",737.903492872921
"2000","AL",122.373155395195
"2000","NV",87.9068388646838
"2000","SD",22.7717578114761
"2000","MN",181.692411110787
"2000","VT",18.3811632226815
"2000","MO",182.735158272008
"2000","IN",197.122851898184
"2000","LA",131.980283075202
"2000","KS",87.0224326888035
"2000","AR",66.9828223134958
