year,region,hh,value
"2015","AL","hh4",37.3860651066017
"2015","AL","hh5",54.0307843007799
"2015","NV","hh1",3.82158257197473
"2015","NV","hh2",13.3411971072289
"2015","NV","hh3",13.1528178270065
"2015","NV","hh4",23.3592088256735
"2015","NV","hh5",51.0090334809612
"2015","SD","hh1",1.23151129359066
"2015","SD","hh2",2.96297648015008
"2015","SD","hh3",3.61646687907773
"2015","SD","hh4",5.73490521119256
"2015","SD","hh5",18.0424105563794
"2015","MN","hh1",6.02959218436755
"2015","MN","hh2",15.9236356445959
"2015","MN","hh3",22.0868986413988
"2015","MN","hh4",79.1189900119515
"2015","MN","hh5",99.4050582689831
"2015","VT","hh1",0.760439653681083
"2015","VT","hh2",1.98276832733937
"2015","VT","hh3",2.98842284818325
"2015","VT","hh4",3.20447007665543
"2015","VT","hh5",15.9791175110865
"2015","MO","hh1",6.26450084663936
"2015","MO","hh2",17.8918515039731
"2015","MO","hh3",22.9945915597649
"2015","MO","hh4",67.25574586712
"2015","MO","hh5",84.4545126770505
"2015","IN","hh1",9.29985274461793
"2015","IN","hh2",24.1709501241604
"2015","IN","hh3",23.9708566764499
"2015","IN","hh4",75.6016032863596
"2015","IN","hh5",70.0756764011693
"2015","LA","hh1",7.32830861952435
"2015","LA","hh2",15.880228389902
"2015","LA","hh3",17.6800938593028
"2015","LA","hh4",41.6063455689879
"2015","LA","hh5",55.5782096006768
"2015","KS","hh1",3.66620940339201
"2015","KS","hh2",9.90255124954321
"2015","KS","hh3",10.8297438250921
"2015","KS","hh4",26.1008363228379
"2015","KS","hh5",41.6779530877459
"2015","AR","hh1",5.01024479979648
"2015","AR","hh2",11.7976807825958
"2015","AR","hh3",11.4368767153278
"2015","AR","hh4",21.4818599111277
"2015","AR","hh5",32.9940259049843
"2015","NY","hh1",28.4437999120325
"2015","NY","hh2",61.6469709269377
"2015","NY","hh3",70.1367294901827
"2015","NY","hh4",211.468404395864
"2015","NY","hh5",471.107470869831
"2015","OR","hh1",6.03925625155999
"2015","OR","hh2",16.5552604824054
"2015","OR","hh3",16.4140253161968
"2015","OR","hh4",43.0581148346838
